,,,x,y
Record Length,2.50E+03,,-0.0021,-0.0092
Sample Interval,2.00E-06,,-0.002098,-0.0088
Trigger Point,1.05E+03,,-0.002096,-0.0092
,,,-0.002094,-0.0092
,,,-0.002092,-0.0092
,,,-0.00209,-0.01
Source,CH2,,-0.002088,-0.0096
Vertical Units,V,,-0.002086,-0.0096
Vertical Scale,1.00E-02,,-0.002084,-0.0088
Vertical Offset,2.00E-03,,-0.002082,-0.0084
Horizontal Units,s,,-0.00208,-0.0088
Horizontal Scale,5.00E-04,,-0.002078,-0.0092
Pt Fmt,Y,,-0.002076,-0.0092
Yzero,0.00E+00,,-0.002074,-0.0096
Probe Atten,1.00E+00,,-0.002072,-0.0096
Model Number,TDS1012B,,-0.00207,-0.0092
Serial Number,C060850,,-0.002068,-0.0088
Firmware Version,FV:v22.01,,-0.002066,-0.0088
,,,-0.002064,-0.0096
,,,-0.002062,-0.0096
,,,-0.00206,-0.0096
,,,-0.002058,-0.0096
,,,-0.002056,-0.0088
,,,-0.002054,-0.0088
,,,-0.002052,-0.0088
,,,-0.00205,-0.0088
,,,-0.002048,-0.0104
,,,-0.002046,-0.0104
,,,-0.002044,-0.0096
,,,-0.002042,-0.0092
,,,-0.00204,-0.0088
,,,-0.002038,-0.0092
,,,-0.002036,-0.0096
,,,-0.002034,-0.0092
,,,-0.002032,-0.01
,,,-0.00203,-0.0096
,,,-0.002028,-0.0096
,,,-0.002026,-0.0096
,,,-0.002024,-0.0088
,,,-0.002022,-0.0088
,,,-0.00202,-0.01
,,,-0.002018,-0.0092
,,,-0.002016,-0.01
,,,-0.002014,-0.0096
,,,-0.002012,-0.0092
,,,-0.00201,-0.0096
,,,-0.002008,-0.0088
,,,-0.002006,-0.0096
,,,-0.002004,-0.0104
,,,-0.002002,-0.0096
,,,-0.002,-0.0096
,,,-0.001998,-0.0092
,,,-0.001996,-0.0088
,,,-0.001994,-0.0092
,,,-0.001992,-0.0092
,,,-0.00199,-0.0092
,,,-0.001988,-0.0096
,,,-0.001986,-0.0096
,,,-0.001984,-0.0092
,,,-0.001982,-0.0092
